library;function;block_name;op_block_string;operation_title;operation_symbol;icon_filename
operator;add;Add;OP_NODE_ADD;Addition;+;plus_math_100
operator;sub;Sub;OP_NODE_SUBTRACT;Subtraction;-;subtract_100
operator;mul;Mul;OP_NODE_MULTIPLY;Multiplication;*;multiply_100
operator;truediv;TrueDiv;OP_NODE_DIVIDE;Division;/;divide_100
operator;mod;Mod;OP_NODE_MODULO;Modulo;%;percentage_100
operator;pow;Pow;OP_NODE_POWER;Power;**;square_number_100
operator;lt;Lt;OP_NODE_LESS;Less;<;less_than_100
operator;le;Le;OP_NODE_LESS_EQUAL;Less or Equal;<=;less_or_equal_100
operator;eq;Eq;OP_NODE_EQUAL;Equal;==;equal_sign_100
operator;gt;Gt;OP_NODE_GREATER;Greater;>;more_than_100
operator;ge;Ge;OP_NODE_GREATER_EQUAL;Greater or Equal;>=;more_or_equal_100
